Contabilidade 2;;;;;;
Hora;Segunda;Terça;Quarta;Quinta;Sexta;
7:00;Contabilidade e Custos;Biologia I;Matemática II;Física I;Química II;abc
;João Paulo;Dayana;Rômulo;João Luiz;André;
7:50;Contabilidade e Custos;Biologia I;Matemática II;Matemática II;Química II;abc
;João Paulo;Dayana;Rômulo;Rômulo;André;
8:40;Inglês I;Matemática Financeira;Geografia II;Geografia II;Física I;abc
;Cláudia;Eduardo;Alexandre;Alexandre;João Luiz;
9:30;INTERVALO;;;;;
;;;;;;
9:50;Inglês I;Matemática Financeira;Geografia II;Geografia II;Física I;abc
;Cláudia;Eduardo;Alexandre;Alexandre;João Luiz;
10:40;Biologia I;História II;Filosofia II;Português II;;abc
;Dayana;Divino;Michel;Erivan;;
11:30;;História II;Filosofia II;Português II;;abc
;;Divino;Michel;Erivan;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;;Educação Física II;;abc
;;;;Ramon;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;;Educação Física II;;abc
;;;;Ramon;;
15:50;;;;Educação Física II;;abc
;;;;Ramon;;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;
