Gest. Comercial 1;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;;;;;;abc
;;;;;;
7:50;;;;;;abc
;;;;;;
8:40;;;;;;abc
;;;;;;
9:30;INTERVALO;;;;;
;;;;;;
9:50;;;;;;abc
;;;;;;
10:40;;;;;;abc
;;;;;;
11:30;;;;;;abc
;;;;;;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;;;;abc
;;;;;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;;;;abc
;;;;;;
15:50;;;;;;abc
;;;;;;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;Fundamentos da Administração;Informática Básica;Responsabili-dade Socioambiental;Economia e Mercado;Língua Portuguesa;abc
;Katarina;Jefferson;Kyara;Tatiana;Vera;
18:50;Fundamentos da Administração;Informática Básica;Responsabili-dade Socioambiental;Economia e Mercado;Língua Portuguesa;abc
;Katarina;Jefferson;Kyara;Tatiana;Vera;
19:40;Fundamentos da Administração;Informática Básica;Fundamentos da Administração;Economia e Mercado;Língua Portuguesa;abc
;Katarina;Jefferson;Katarina;Tatiana;Vera;
20:30;INTERVALO;;;;;
;;;;;;
20:40;Matemática Financeira;Matemática Financeira;Introdução ao Direito Público e Privado;Introdução ao Direito Público e Privado;Comportamento do Consumidor;abc
;Cecília / Tatiana;Cecília / Tatiana;Monique;Monique;Anna Carolina;
21:30;Matemática Financeira;Matemática Financeira;Introdução ao Direito Público e Privado;Introdução ao Direito Público e Privado;Comportamento do Consumidor;abc
;Cecília / Tatiana;Cecília / Tatiana;Monique;Monique;Anna Carolina;
